cEGFRi	cEGFR	cERK	
0	0.	0.	0.	
1	0.	0.4	-0.000999999999999	
2	0.0016	0.8	-0.000399999999999	
3	0.0048	1.1999872	0.0018	
4	0.0095999488	1.5999488	0.0055999488	
5	0.015999744	1.99987200041	0.010999744	
6	0.0239992320017	2.39974400246	0.0179992320017	
7	0.0335982080115	2.79955200861	0.0265982080115	
8	0.0447964160459	3.19928322294	0.0367964160459	
9	0.0575935489377	3.59892485161	0.0485935489377	
10	0.0719892483441	3.99846410322	0.0619892483441	
11	0.087983104757	4.39788818924	0.076983104757	
12	0.105574657514	4.7971843244	0.0935746575139	
13	0.124763394812	5.19633972714	0.111763394812	
14	0.14554875372	5.59534161998	0.13154875372	
15	0.1679301202	5.99417722995	0.1529301202	
16	0.19190682912	6.39283378899	0.17590682912	
17	0.217478164276	6.79129853435	0.200478164276	
18	0.244643358413	7.18955870904	0.226643358413	
19	0.27340159325	7.58760156217	0.25440159325	
20	0.303751999498	7.98541434943	0.283751999498	
21	0.335693656896	8.38298433343	0.314693656896	
22	0.36922559423	8.78029878418	0.34722559423	
23	0.404346789366	9.17734497942	0.381346789366	
24	0.441056169284	9.57411020511	0.417056169284	
25	0.479352610104	9.97058175575	0.454352610104	
26	0.519234937127	10.3667469349	0.493234937127	
27	0.560701924867	10.7625930554	0.533701924867	
28	0.603752297088	11.15810744	0.575752297088	
29	0.648384726848	11.5532774216	0.619384726848	
30	0.694597836535	11.9480903438	0.664597836535	
31	0.74239019791	12.3425335611	0.71139019791	
32	0.791760332154	12.7365944396	0.759760332154	
33	0.842706709912	13.1302603569	0.809706709912	
34	0.89522775134	13.5235187032	0.86122775134	
35	0.949321826152	13.9163568812	0.914321826152	
36	1.00498725368	14.3087623066	0.968987253677	
37	1.06222230291	14.7007224086	1.02522230291	
38	1.12102519254	15.0922246301	1.08302519254	
39	1.18139409106	15.4832564286	1.14239409106	
40	1.24332711678	15.8738052759	1.20332711678	
41	1.30682233788	16.2638586589	1.26582233788	
42	1.37187777252	16.6534040802	1.32987777252	
43	1.43849138884	17.0424290581	1.39549138884	
44	1.50666110507	17.4309211269	1.46266110507	
45	1.57638478958	17.8188678381	1.53138478958	
46	1.64766026093	18.2062567598	1.60166026093	
47	1.72048528797	18.5930754777	1.67348528797	
48	1.79485758988	18.9793115954	1.74685758988	
49	1.87077483626	19.3649527347	1.82177483626	
50	1.9482346472	19.749986536	1.8982346472	
51	2.02723459334	20.1344006588	1.97623459334	
52	2.10777219598	20.5181827821	2.05577219598	
53	2.1898449271	20.9013206045	2.1368449271	
54	2.27345020952	21.2838018451	2.21945020952	
55	2.3585854169	21.6656142434	2.3035854169	
56	2.44524787388	22.0467455601	2.38924787388	
57	2.53343485612	22.4271835771	2.47643485612	
58	2.62314359042	22.8069160982	2.56514359042	
59	2.71437125482	23.1859309495	2.65537125482	
60	2.80711497861	23.5642159795	2.74711497861	
61	2.90137184253	23.9417590596	2.84037184253	
62	2.99713887877	24.3185480849	2.93513887877	
63	3.09441307111	24.6945709739	3.03141307111	
64	3.193191355	25.0698156693	3.129191355	
65	3.29347061768	25.4442701385	3.22847061768	
66	3.39524769824	25.8179223735	3.32924769824	
67	3.49851938773	26.1907603919	3.43151938773	
68	3.6032824293	26.5627722368	3.5352824293	
69	3.70953351824	26.9339459774	3.64053351824	
70	3.81726930215	27.3042697093	3.74726930215	
71	3.92648638099	27.6737315548	3.85548638099	
72	4.03718130721	28.0423196638	3.96518130721	
73	4.14935058586	28.4100222133	4.07635058586	
74	4.26299067472	28.7768274086	4.18899067472	
75	4.37809798435	29.1427234832	4.30309798435	
76	4.49466887828	29.5076986994	4.41866887828	
77	4.61269967308	29.8717413483	4.53569967308	
78	4.73218663848	30.234839751	4.65418663848	
79	4.85312599748	30.5969822579	4.77412599748	
80	4.97551392651	30.9581572499	4.89551392651	
81	5.09934655551	31.3183531385	5.01834655551	
82	5.22461996806	31.677558366	5.14261996806	
83	5.35133020153	32.0357614063	5.26833020153	
84	5.47947324715	32.3929507647	5.39547324715	
85	5.60904505021	32.7491149787	5.52404505021	
86	5.74004151012	33.1042426183	5.65404151012	
87	5.8724584806	33.4583222862	5.7854584806	
88	6.00629176974	33.8113426184	5.91829176974	
89	6.14153714022	34.1632922842	6.05253714022	
90	6.27819030935	34.5141599871	6.18819030935	
91	6.4162469493	34.8639344646	6.3252469493	
92	6.55570268716	35.212604489	6.46370268716	
93	6.69655310511	35.5601588675	6.60355310511	
94	6.83879374058	35.9065864427	6.74479374058	
95	6.98242008635	36.2518760927	6.88742008635	
96	7.12742759073	36.5960167321	7.03142759073	
97	7.27381165765	36.9389973113	7.17681165765	
98	7.4215676469	37.2808068181	7.3235676469	
99	7.57069087417	37.6214342769	7.47169087417	
100	7.72117661128	37.9608687499	7.62117661128	
101	7.87302008628	38.299099337	7.77202008628	
102	8.02621648362	38.6361151763	7.92421648362	
103	8.18076094433	38.9719054444	8.07776094433	
104	8.33664856611	39.3064593569	8.23264856611	
105	8.49387440353	39.6397661684	8.38887440353	
106	8.65243346821	39.9718151731	8.54643346821	
107	8.8123207289	40.3025957054	8.7053207289	
108	8.97353111172	40.6320971396	8.86553111172	
109	9.13605950028	40.9603088907	9.02705950028	
110	9.29990073584	41.2872204147	9.18990073584	
111	9.4650496175	41.6128212088	9.3540496175	
112	9.63150090234	41.9371008118	9.51950090234	
113	9.79924930558	42.2600488046	9.68624930558	
114	9.9682895008	42.5816548102	9.8542895008	
115	10.1386161201	42.9019084942	10.0236161201	
116	10.3102237541	43.2207995652	10.1942237541	
117	10.4831069523	43.5383177752	10.3661069523	
118	10.6572602234	43.8544529196	10.5392602234	
